City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,ruiz,21.95,-105.15,28.45,88,36,2.09,MX,1725842372
123,tosontsengel,48.7567,98.2839,2.28,68,8,1.69,MN,1725842373
124,talnakh,69.4865,88.3972,0.48,98,100,7.34,RU,1725842375
125,newman,37.3138,-121.0208,38.92,23,0,1.79,US,1725842376
126,auki,-8.7676,160.7034,26.32,85,100,2.67,SB,1725842377
127,wailua homesteads,22.0669,-159.378,28.96,66,40,4.63,US,1725842379
128,bhadrakh,21.0528,86.52,27.57,87,100,5.57,IN,1725842380
129,codrington,-38.2667,141.9667,12.21,74,100,5.83,AU,1725842381
130,las lajitas,-24.6833,-64.25,21.42,43,100,2.36,AR,1725842382
131,puerto lempira,15.2667,-83.7667,30.08,66,20,0.0,HN,1725842106
132,basco,20.4487,121.9702,27.94,80,100,3.21,PH,1725842384
133,shimoda,34.6667,138.95,28.67,72,4,4.28,JP,1725842385
134,keelung,25.1283,121.7419,32.78,69,16,3.64,TW,1725842387
135,watseka,40.7762,-87.7364,15.54,71,6,2.58,US,1725842388
136,charters towers,-20.1,146.2667,26.08,42,0,4.3,AU,1725842389
137,georgetown,5.4112,100.3354,25.96,86,20,1.54,MY,1725842332
138,dali,25.7,100.1833,18.47,88,100,1.44,CN,1725842391
139,fada,7.25,4.0667,21.5,98,18,0.99,NG,1725842392
140,demre,36.2537,29.9777,23.62,64,0,1.18,TR,1725842393
141,tara,56.8944,74.371,10.99,97,80,2.01,RU,1725842395
142,tibati,6.4667,12.6333,19.54,98,100,1.82,CM,1725842396
143,puerto ayora,-0.7393,-90.3518,20.86,97,100,3.58,EC,1725842398
144,longyearbyen,78.2186,15.6401,0.91,80,20,4.12,SJ,1725842399
145,vilani,56.5525,26.9245,12.58,70,0,3.58,LV,1725842400
146,pisco,-13.7,-76.2167,18.03,77,97,4.12,PE,1725842402
147,an nuhud,12.7,28.4333,26.74,66,91,2.66,SD,1725842403
148,borovskoy,53.8,64.15,13.33,95,0,3.31,KZ,1725842404
149,pelabuhanratu,-6.9875,106.5514,27.61,77,18,2.14,ID,1725842405
150,saint-paul,-21.0096,55.2707,21.05,91,13,0.85,RE,1725842406
151,westport,41.1415,-73.3579,17.17,68,0,1.34,US,1725842181
152,dno,57.8277,29.9637,12.19,77,85,2.2,RU,1725842408
153,ribeira grande,38.5167,-28.7,22.1,84,64,4.92,PT,1725842410
154,fort bragg,35.139,-79.006,21.85,68,100,0.0,US,1725842411
155,leava,-14.3,-178.1667,25.57,77,93,6.32,WF,1725842412
156,nagqu,31.5,92.0,5.48,83,100,1.58,CN,1725842413
157,ciudad pemex,17.9,-92.5,24.21,89,100,5.69,MX,1725842414
158,ceeldheer,3.8488,47.1806,24.76,87,100,8.4,SO,1725842416
159,ilulissat,69.2167,-51.1,0.01,80,100,2.57,GL,1725842418
160,inhambane,-23.865,35.3833,21.64,78,0,4.04,MZ,1725842419
161,constitucion,-35.3333,-72.4167,9.97,81,79,3.63,CL,1725842420
162,bakanas,44.8081,76.2772,14.76,42,100,4.38,KZ,1725842421
163,timmins,48.4669,-81.3331,11.9,47,40,2.06,CA,1725842161
164,taksimo,56.3444,114.8794,9.42,81,100,2.08,RU,1725842423
165,kingston,17.997,-76.7936,30.53,74,20,7.72,JM,1725842085
166,strezhevoy,60.7333,77.5889,3.74,89,100,4.57,RU,1725842426
167,suva,-18.1416,178.4415,25.71,73,75,3.09,FJ,1725842427
168,ribeira brava,32.65,-17.0667,22.23,84,26,1.43,PT,1725842428
169,muang phonsavan,19.45,103.2167,19.87,100,100,0.74,LA,1725842429
170,zyrya,40.3661,50.2917,18.05,69,6,5.89,AZ,1725842430
171,kayangel,8.0823,134.7173,28.99,75,35,3.57,PW,1725842431
172,suez,29.9737,32.5263,25.23,76,63,4.38,EG,1725842433
173,kavieng,-2.5744,150.7967,28.27,76,100,6.56,PG,1725842434
174,mendoza,-32.8908,-68.8272,16.74,39,0,1.03,AR,1725842208
175,callao,-12.0667,-77.15,19.29,88,75,4.63,PE,1725842316
176,okha,53.5739,142.9478,13.5,62,0,7.2,RU,1725842437
177,le morne-rouge,14.7667,-61.1333,23.76,81,100,2.35,MQ,1725842438
178,altamira,-3.2033,-52.2064,28.93,43,100,0.76,BR,1725842439
179,beyneu,45.3167,55.2,18.13,41,6,4.44,KZ,1725842441
180,yinchuan,38.4681,106.2731,20.89,50,100,4.92,CN,1725842442
181,dudinka,69.4058,86.1778,-0.15,91,100,9.69,RU,1725842443
182,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.54,GF,1725842444
183,colonia,50.9333,6.95,15.07,83,98,2.31,DE,1725842350
184,at taraf,25.3628,49.725,28.3,54,0,1.69,SA,1725842446
185,shortandy,51.7006,70.9994,9.98,84,94,2.83,KZ,1725842447
186,ivins,37.1686,-113.6794,36.75,17,0,4.02,US,1725841958
187,gidam,18.9833,81.4,22.85,99,100,2.17,IN,1725842450
188,curuzu cuatia,-29.7917,-58.0546,19.42,94,100,5.51,AR,1725842358
189,arraial do cabo,-22.9661,-42.0278,21.73,91,0,9.79,BR,1725842430
190,san patricio,28.017,-97.5169,28.97,57,100,3.52,US,1725842453
191,isafjordur,66.0755,-23.124,1.52,77,99,8.87,IS,1725842454
192,lock haven,41.137,-77.4469,12.92,70,0,1.36,US,1725842160
193,malango,-2.9627,119.9001,24.76,76,94,1.13,ID,1725842457
194,thompson,55.7435,-97.8558,23.09,53,40,3.09,CA,1725842458
195,king city,36.2127,-121.126,35.53,15,0,5.04,US,1725842459
196,banda aceh,5.5577,95.3222,25.63,84,100,5.07,ID,1725842460
197,cidade velha,14.9167,-23.6167,27.26,74,75,5.14,CV,1725842461
198,alice springs,-23.7,133.8833,19.75,32,100,8.23,AU,1725842462
199,manggar,-2.8833,108.2667,27.28,81,100,3.49,ID,1725842226
200,bargaal,11.2864,51.0773,28.16,65,46,5.06,SO,1725842465
201,lihue,21.9789,-159.3672,29.3,62,40,4.63,US,1725842466
202,nishinoomote,30.7333,131.0,26.31,100,75,3.6,JP,1725842467
203,vorgashor,67.5833,63.95,4.2,77,89,5.38,RU,1725842468
204,vila franca do campo,37.7167,-25.4333,21.23,99,18,2.73,PT,1725842469
205,qianzhou,28.3167,109.7167,26.8,84,3,1.16,CN,1725842470
206,zabol,32.25,67.25,18.33,16,0,2.23,AF,1725842471
207,micheweni,-4.9667,39.8333,24.0,84,26,4.13,TZ,1725842473
208,gannan,47.9147,123.5031,21.61,75,100,8.33,CN,1725842474
209,kodiak,57.79,-152.4072,12.73,82,100,1.54,US,1725842475
210,ta`u,-14.2336,-169.5144,26.36,83,55,6.18,AS,1725842476
211,yelan'-koleno,51.1523,41.2306,16.23,41,100,2.82,RU,1725842477
212,las heras,-46.5419,-68.9359,7.62,54,17,7.19,AR,1725842478
213,sitka,57.0531,-135.33,15.94,67,20,7.2,US,1725842480
214,new norfolk,-42.7826,147.0587,13.29,67,50,4.9,AU,1725842481
215,persianovka,47.5297,39.4183,18.57,34,100,6.32,RU,1725842482
216,resita,45.3008,21.8892,21.2,27,8,5.26,RO,1725842483
217,san matias,-16.3667,-58.4,30.06,15,0,1.97,BO,1725842484
218,yashkino,55.8736,85.4265,9.11,97,100,4.49,RU,1725842485
219,nazyvayevsk,55.5698,71.3529,11.38,97,38,2.55,RU,1725842487
220,inirida,3.8653,-67.9239,26.02,78,35,1.06,CO,1725842488
221,al bayda,32.7627,21.7551,20.57,86,97,2.84,LY,1725842489
222,anadyr,64.75,177.4833,11.28,81,40,3.0,RU,1725842490
223,nyala,12.05,24.8833,24.75,72,13,2.73,SD,1725842491
224,sciacca,37.5082,13.0881,24.81,88,100,4.83,IT,1725842492
225,oranjemund,-28.55,16.4333,10.05,76,0,4.85,NA,1725842494
226,ponta delgada,37.7333,-25.6667,21.4,83,20,3.09,PT,1725842495
227,thinadhoo,0.5333,72.9333,28.15,72,76,3.78,MV,1725842496
228,port alfred,-33.5906,26.891,11.21,87,75,0.89,ZA,1725842497
229,gadzhiyevo,69.2551,33.3362,12.82,90,72,5.37,RU,1725842498
230,belmont,37.5202,-122.2758,30.3,49,0,8.23,US,1725842499
231,ziway,7.9333,38.7167,17.62,84,99,2.46,ET,1725842500
232,nar'yan-mar,67.6713,53.087,7.07,75,100,5.05,RU,1725842502
233,alotau,-10.3069,150.4462,27.72,56,100,2.61,PG,1725842503
234,karachayevsk,43.774,41.9142,14.88,85,100,1.98,RU,1725842504
235,tura,25.5198,90.2201,25.74,92,11,2.31,IN,1725842505
236,siwa oasis,29.2041,25.5195,28.05,53,0,3.52,EG,1725842506
237,antofagasta,-23.65,-70.4,14.6,82,76,1.71,CL,1725841920
238,nuku'alofa,-21.1333,-175.2,25.19,83,75,6.69,TO,1725842508
239,holualoa,19.6228,-155.9522,25.86,74,39,0.89,US,1725842510
240,shitanjing,39.2342,106.3439,12.94,78,100,4.72,CN,1725842511
241,marysville,48.0518,-122.1771,25.16,70,0,3.6,US,1725842512
242,elazig,38.6743,39.2232,15.83,63,0,2.57,TR,1725842513
243,hasaki,35.7333,140.8333,27.27,79,10,2.92,JP,1725842514
244,fort frances,48.5999,-93.4003,22.12,60,0,3.09,CA,1725842515
245,arklow,52.7931,-6.1414,10.68,83,16,3.17,IE,1725842516
246,lucaya,26.5333,-78.6667,28.96,84,20,3.09,BS,1725842518
247,parnu,58.3859,24.4971,11.05,82,5,2.06,EE,1725842519
248,la ronge,55.1001,-105.2842,24.14,50,0,2.57,CA,1725842520
249,bubaque,11.2833,-15.8333,26.22,85,98,3.28,GW,1725842521
250,chonchi,-42.6128,-73.8092,5.08,95,51,1.48,CL,1725842522
251,hotan,37.0997,79.9269,20.76,36,100,2.82,CN,1725842523
252,kirakira,-10.4544,161.9205,28.71,66,11,7.58,SB,1725842525
253,mogocha,53.7333,119.7667,14.01,60,100,2.39,RU,1725842526
254,kiunga,-6.1219,141.2906,24.11,83,100,1.64,PG,1725842527
255,shubarshi,48.5872,57.1869,13.44,49,9,1.96,KZ,1725842528
256,weno,7.4515,151.8468,28.97,89,100,6.17,FM,1725842529
257,crane,31.3974,-102.3501,26.62,32,0,5.9,US,1725842530
258,port augusta,-32.5,137.7667,18.23,48,17,3.74,AU,1725842531
259,barreiro do jaiba,-15.6167,-43.6,25.07,34,0,3.36,BR,1725842533
260,bahia blanca,-38.7196,-62.2724,15.69,35,100,3.06,AR,1725842520
261,karwar,14.8,74.1333,25.83,88,100,4.36,IN,1725842535
262,spassk-dal'niy,44.5978,132.8211,24.33,70,5,1.87,RU,1725842536
263,dunedin,-45.8742,170.5036,12.67,64,100,3.58,NZ,1725842537
264,talakan,50.3167,130.3667,19.38,44,100,4.73,RU,1725842538
265,nemuro,43.3236,145.575,18.07,77,0,7.17,JP,1725842539
266,grand island,40.925,-98.342,25.97,52,0,3.6,US,1725842436
267,huarmey,-10.0681,-78.1522,17.43,85,27,3.92,PE,1725842542
268,yelovo,57.0538,54.9207,13.49,83,37,0.95,RU,1725842543
269,abqaiq,25.9371,49.6776,27.74,51,0,1.88,SA,1725842544
270,kismayo,-0.3582,42.5454,24.81,85,45,5.36,SO,1725842545
271,palmas,-10.2128,-48.3603,28.93,28,0,3.09,BR,1725842523
272,cabo san lucas,22.8909,-109.9124,33.17,51,100,3.09,MX,1725842395
273,santo augusto,-27.8508,-53.7772,22.91,46,10,3.15,BR,1725842549
274,uberaba,-19.7483,-47.9319,28.32,23,0,4.63,BR,1725842477
275,sofifi,0.7349,127.576,28.94,73,18,2.18,ID,1725842551
276,mossel bay,-34.1831,22.146,8.96,60,87,5.06,ZA,1725842552
277,jinan-gun,35.7917,127.4253,25.5,83,100,0.37,KR,1725842554
278,mount isa,-20.7333,139.5,25.87,36,0,6.69,AU,1725842556
279,saint-joseph,-21.3667,55.6167,20.21,79,19,3.32,RE,1725842557
280,parabel',58.6978,81.4825,11.45,95,100,6.17,RU,1725842558
281,tazacorte,28.629,-17.9293,21.54,88,40,4.12,ES,1725842559
282,al mayadin,35.0209,40.4535,31.04,32,2,2.91,SY,1725842560
283,lorengau,-2.0226,147.2712,28.56,74,37,7.7,PG,1725842561
284,puerto baquerizo moreno,-0.9,-89.6,20.99,87,100,6.06,EC,1725842562
285,minas de marcona,-15.2119,-75.1103,13.07,75,100,4.58,PE,1725842564
286,asau,46.4333,26.4,12.37,47,1,1.78,RO,1725842565
287,tokar,18.4254,37.729,31.72,47,0,1.3,SD,1725842566
288,inarajan village,13.2736,144.7484,32.54,82,95,4.11,GU,1725842567
289,murzuq,25.9155,13.9184,32.15,29,50,2.09,LY,1725842568
290,kegeyli shahar,42.7767,59.6078,14.2,70,0,4.23,UZ,1725842569
291,christchurch,-43.5333,172.6333,17.11,51,40,4.12,NZ,1725842426
292,geraldton,-28.7667,114.6,13.23,82,100,3.6,AU,1725842572
293,wakkanai,45.4094,141.6739,20.99,49,20,1.54,JP,1725842574
294,salinopolis,-0.6136,-47.3561,26.85,77,3,6.13,BR,1725842575
295,afaahiti,-17.75,-149.2833,22.66,68,30,8.29,PF,1725842576
296,novyy urengoy,66.0833,76.6333,0.79,73,82,8.45,RU,1725842579
297,padang,-0.9492,100.3543,25.03,86,52,1.11,ID,1725842283
298,north platte,41.1239,-100.7654,25.77,48,5,5.36,US,1725842581
299,angaur state,6.906,134.13,28.86,76,28,5.0,PW,1725842582
300,bambari,5.768,20.6757,21.72,97,95,0.95,CF,1725842584
301,daru,-9.0763,143.2092,25.43,77,63,5.94,PG,1725842586
302,tomelloso,39.1522,-3.0243,18.19,42,0,1.66,ES,1725842587
303,villa de arista,22.65,-100.8333,22.09,51,0,4.58,MX,1725842588
304,fort-shevchenko,44.5086,50.263,20.56,34,0,7.17,KZ,1725842589
305,zhanjiang,21.2815,110.3427,28.27,88,100,4.95,CN,1725842590
306,rampachodavaram,17.45,81.7667,23.23,96,100,3.48,IN,1725842591
307,stephenville,32.2207,-98.2023,25.07,36,0,2.06,US,1725842594
308,new kingman-butler,35.265,-114.0323,34.94,18,20,4.53,US,1725842595
309,kourou,5.1552,-52.6478,26.44,82,11,4.49,GF,1725842596
310,villa gesell,-37.2639,-56.973,11.18,77,5,4.43,AR,1725842597
311,fortuna,40.5982,-124.1573,20.52,85,0,5.14,US,1725842598
312,spilimbergo,46.1125,12.8969,19.21,79,75,4.63,IT,1725842582
313,robertsport,6.7533,-11.3686,24.9,89,100,5.1,LR,1725842601
314,mili,6.0815,171.735,29.09,74,5,5.88,MH,1725842602
315,port lincoln,-34.7333,135.8667,15.29,61,100,5.83,AU,1725842603
316,annaba,36.9,7.7667,23.98,100,40,2.57,DZ,1725842604
317,valparaiso,-33.0393,-71.6273,13.8,71,0,2.06,CL,1725842404
318,yeniseysk,58.4497,92.1703,9.2,96,100,5.21,RU,1725842606
319,kapa'a,22.0752,-159.319,29.71,63,40,4.63,US,1725842607
320,bikenibeu village,1.3673,173.1241,31.98,66,20,6.17,KI,1725842609
321,richards bay,-28.783,32.0377,16.47,83,100,7.33,ZA,1725842610
322,chibougamau,49.9168,-74.3659,7.79,100,100,3.09,CA,1725842595
323,la palma,33.8464,-118.0467,38.04,32,0,6.69,US,1725842469
324,utete,-7.986,38.758,20.83,93,21,0.33,TZ,1725842613
325,missoula,47.0166,-113.8009,22.14,31,100,6.42,US,1725842587
326,taroa,8.7058,171.2275,28.5,77,15,5.17,MH,1725842616
327,luwingu,-10.2621,29.9271,20.59,44,95,2.47,ZM,1725842617
328,igarka,67.4667,86.5833,0.08,92,100,9.81,RU,1725842618
329,flin flon,54.7682,-101.865,21.21,54,68,3.31,CA,1725842619
330,williams lake,52.1415,-122.1445,31.14,32,75,1.03,CA,1725842534
331,el jadid,33.2549,-8.506,20.61,81,6,4.95,MA,1725842621
332,ben lomond,37.0891,-122.0863,33.91,38,0,1.34,US,1725842622
333,margasari,-7.1,109.0167,28.84,68,35,3.27,ID,1725842624
334,merizo village,13.2658,144.6691,32.31,82,97,3.87,GU,1725842625
335,labrador city,52.9463,-66.9114,11.77,92,75,4.47,CA,1725842626
336,homer,59.6425,-151.5483,13.21,78,100,3.6,US,1725842627
337,coquimbo,-29.9533,-71.3436,11.85,100,0,3.09,CL,1725842142
338,gobabis,-22.45,18.9667,14.26,20,0,3.63,NA,1725842629
339,kidal,18.4411,1.4078,31.15,46,0,2.78,ML,1725842631
340,urengoy,65.9667,78.3667,0.3,80,72,8.11,RU,1725842632
341,petrozavodsk,61.7849,34.3469,7.7,93,0,0.0,RU,1725842633
342,nuriootpa,-34.4833,139.0,15.36,54,0,7.48,AU,1725842634
343,berbera,10.4396,45.0143,32.37,52,6,3.58,SO,1725842635
344,birobidzhan,48.8,132.95,17.22,53,100,0.88,RU,1725842636
345,vorkuta,67.5,64.0,4.81,73,96,5.51,RU,1725842501
346,pacific grove,36.6177,-121.9166,19.82,91,0,4.12,US,1725842639
347,hadibu,12.65,54.0333,25.09,83,27,7.25,YE,1725842640
348,barra de santo antonio,-9.4047,-35.5072,23.6,83,0,6.47,BR,1725842641
349,ghadamis,30.1337,9.5007,33.12,37,33,2.29,LY,1725842642
350,dwarka,22.2394,68.9678,27.38,83,100,4.57,IN,1725842643
351,kerikeri,-35.2268,173.9474,17.02,41,80,3.64,NZ,1725842644
352,vilyuysk,63.7553,121.6247,10.98,78,83,2.48,RU,1725842645
353,kozarska dubica,45.1767,16.8094,21.06,73,100,1.05,BA,1725842647
354,mount pearl,47.5166,-52.7813,18.74,95,75,4.63,CA,1725842648
355,yibin,28.7667,104.6238,27.92,76,50,1.09,CN,1725842649
356,loanda,-8.8368,13.2343,21.0,88,78,1.03,AO,1725842650
357,myskhako,44.6714,37.7433,19.01,74,100,3.07,RU,1725842651
358,sultanah,24.4926,39.5857,33.25,17,0,1.03,SA,1725842652
359,karaj,35.8355,51.0103,17.88,52,0,6.17,IR,1725842653
360,island harbour,50.724,-1.2758,16.63,72,100,2.68,GB,1725842655
361,gastouni,37.85,21.25,25.14,78,20,2.06,GR,1725842656
362,hengchun,22.0042,120.7439,28.98,69,11,2.06,TW,1725842657
363,rudbar,30.15,62.6,22.28,19,0,5.25,AF,1725842658
364,brisas de zicatela,15.8369,-97.0419,29.29,79,100,2.57,MX,1725842659
365,zhezqazghan,47.7833,67.7667,11.48,74,0,4.04,KZ,1725842474
366,cockburn town,21.4612,-71.1419,28.98,84,40,5.14,TC,1725842661
